C/A,Unit,SCP,Line Name,Division,Date,Time,Description,Entries,Exits                                                     
A013,R081,01-00-00,NQRW,BMT,01/30/2022,15:00:00,REGULAR,6287160,39438169
A013,R081,01-00-00,NQRW,BMT,01/30/2022,19:00:00,REGULAR,6287182,39438608
A013,R081,01-00-00,NQRW,BMT,01/30/2022,23:00:00,REGULAR,6287195,39438798
A013,R081,01-03-00,NQRW,BMT,01/30/2022,03:00:00,REGULAR,30116,71038
A013,R081,01-03-00,NQRW,BMT,01/30/2022,07:00:00,REGULAR,30121,71043
A013,R081,01-03-00,NQRW,BMT,01/30/2022,11:00:00,REGULAR,30137,71073
A013,R081,01-03-00,NQRW,BMT,01/30/2022,15:00:00,REGULAR,30158,71166
A013,R081,01-03-00,NQRW,BMT,01/30/2022,19:00:00,REGULAR,30208,71295
A013,R081,01-03-00,NQRW,BMT,01/30/2022,23:00:00,REGULAR,30251,71347
A013,R081,01-03-01,NQRW,BMT,01/30/2022,03:00:00,REGULAR,6579658,3428942
A013,R081,01-03-01,NQRW,BMT,01/30/2022,07:00:00,REGULAR,6579660,3428944
A013,R081,01-03-01,NQRW,BMT,01/30/2022,11:00:00,REGULAR,6579684,3428959
A013,R081,01-03-01,NQRW,BMT,01/30/2022,15:00:00,REGULAR,6579711,3428990
